,state,county,candidate,party,total_votes_x,won,total_votes_y
82,Florida,Baker County,Don Blankenship,CST,1,False,11067456
83,Florida,Baker County, Write-ins,WRI,0,False,11067456
84,Florida,Bay County,Donald Trump,REP,66097,True,11067456
85,Florida,Bay County,Joe Biden,DEM,25614,False,11067456
86,Florida,Bay County,Jo Jorgensen,LIB,1004,False,11067456
87,Florida,Bay County,Howie Hawkins,GRN,142,False,11067456
88,Florida,Bay County,Rocky De La Fuente,ALI,54,False,11067456
89,Florida,Bay County,Don Blankenship,CST,52,False,11067456
90,Florida,Bay County,Gloria La Riva,PSL,45,False,11067456
91,Florida,Bay County, Write-ins,WRI,16,False,11067456
92,Florida,Bradford County,Donald Trump,REP,10334,True,11067456
93,Florida,Bradford County,Joe Biden,DEM,3160,False,11067456
94,Florida,Bradford County,Jo Jorgensen,LIB,110,False,11067456
95,Florida,Bradford County,Howie Hawkins,GRN,11,False,11067456
96,Florida,Bradford County,Rocky De La Fuente,ALI,7,False,11067456
97,Florida,Bradford County,Don Blankenship,CST,6,False,11067456
98,Florida,Bradford County,Gloria La Riva,PSL,3,False,11067456
99,Florida,Bradford County, Write-ins,WRI,1,False,11067456
100,Florida,Brevard County,Donald Trump,REP,207883,True,11067456
101,Florida,Brevard County,Joe Biden,DEM,148549,False,11067456
102,Florida,Brevard County,Jo Jorgensen,LIB,3178,False,11067456
103,Florida,Brevard County,Howie Hawkins,GRN,553,False,11067456
104,Florida,Brevard County,Rocky De La Fuente,ALI,222,False,11067456
105,Florida,Brevard County,Don Blankenship,CST,171,False,11067456
106,Florida,Brevard County,Gloria La Riva,PSL,164,False,11067456
107,Florida,Brevard County, Write-ins,WRI,44,False,11067456
108,Florida,Broward County,Joe Biden,DEM,618752,True,11067456
109,Florida,Broward County,Donald Trump,REP,333409,False,11067456
110,Florida,Broward County,Jo Jorgensen,LIB,3114,False,11067456
111,Florida,Broward County,Howie Hawkins,GRN,1253,False,11067456
112,Florida,Broward County,Rocky De La Fuente,ALI,426,False,11067456
113,Florida,Broward County,Gloria La Riva,PSL,417,False,11067456
114,Florida,Broward County,Don Blankenship,CST,238,False,11067456
115,Florida,Broward County, Write-ins,WRI,63,False,11067456
116,Florida,Calhoun County,Donald Trump,REP,5274,True,11067456
117,Florida,Calhoun County,Joe Biden,DEM,1209,False,11067456
